invoice,due,amount,status,skonto_until
# status=open only. Expected receipt = due date; Sat/Sun → next Monday.
# skonto_until is a distractor; do not use it for week assignment.
RE-5001,2026-06-01,80.00,open,2026-05-22
RE-5002,2026-06-02,97.50,open,2026-05-23
RE-5003,2026-06-03,115.00,open,2026-05-24
RE-5004,2026-06-04,132.50,paid,2026-05-25
RE-5005,2026-06-05,150.00,open,2026-05-26
RE-5006,2026-06-06,167.50,open,2026-05-27
RE-5007,2026-06-07,185.00,open,2026-05-28
RE-5008,2026-06-08,202.50,open,2026-05-29
RE-5009,2026-06-09,220.00,paid,2026-05-30
RE-5010,2026-06-10,237.50,open,2026-05-31
RE-5011,2026-06-11,255.00,open,2026-06-01
RE-5012,2026-06-12,272.50,open,2026-06-02
RE-5013,2026-06-13,290.00,paid,2026-06-03
RE-5014,2026-06-14,307.50,open,2026-06-04
RE-5015,2026-06-15,325.00,open,2026-06-05
RE-5016,2026-06-16,342.50,open,2026-06-06
RE-5017,2026-06-17,360.00,open,2026-06-07
RE-5018,2026-06-18,377.50,open,2026-06-08
RE-5019,2026-06-19,395.00,open,2026-06-09
RE-5020,2026-06-20,412.50,paid,2026-06-10
RE-5021,2026-06-21,430.00,open,2026-06-11
RE-5022,2026-06-22,447.50,open,2026-06-12
RE-5023,2026-06-23,465.00,open,2026-06-13
RE-5024,2026-06-24,482.50,open,2026-06-14
RE-5025,2026-06-25,500.00,open,2026-06-15
RE-5026,2026-06-26,517.50,paid,2026-06-16
RE-5027,2026-06-27,535.00,open,2026-06-17
RE-5028,2026-06-28,552.50,open,2026-06-18
RE-5029,2026-06-29,570.00,open,2026-06-19
RE-5030,2026-06-30,587.50,open,2026-06-20
